outcome_id,assessment_date,related_implementation_id,assessor_type,assessor_name,outcome_summary_zh,outcome_direction,unintended_consequence,unintended_consequence_desc,affected_population,related_indicator_id,baseline_value,baseline_year,current_value,current_year,change_pct,source_url,evidence_url,responsibility_attribution_notes,related_pi,related_articles
OA-positive-2024-edu-01,2024-12,IA-moe-2019-edu,data_only,教育部特教通報網（2024 年度資料）,12 年來普通班接受特教服務之身障學生比例上升（融合教育推進）。,positive,0,,身心障礙學生（輕度為主）,,,,,,,,,,"PI-12,PI-10",A24
OA-mixed-2024-edu-02,2024-12,IA-moe-2023-edu,ngo,智總、多障家長協會、自閉症總會（公開意見）,重度多重障礙學生家長反映：融合班加速推進但專業支持品質參差，部分學生在普通班遭遇社交挫折與支持不足。,mixed,1,融合教育推進速度大於普通班專業支持建置速度，部分重度多重障礙學生家長反映實際支持品質下降。,重度智能障礙、多重障礙、需高度結構化環境之學生,,,,,,,,,本平台不單一歸罪：(a) 強落實派倡議方向之意圖正當，(b) 政府實施品質配套不足為主因，(c) 普通班師資專業培訓滯後。應強化品質而非廢除融合方向。,"PI-12,PI-13,PI-14",A24
OA-pending-2024-edu-03,2024-12,IA-moe-2019-edu,platform,AABE（待教育部公開資料）,普通班特教生霸凌通報率變化趨勢需教育部校安通報資料公開後評估。,unclear,0,,融合班身心障礙學生,,,,,,,,,,"PI-12,PI-14","A24,A16"
OA-emp-2024-001,2024-12,IA-mol-2023-emp,data_only,勞動部勞動力發展署統計（2024 年度）,身心障礙者勞動參與率仍維持在 20% 左右，與一般勞動參與率（59%）差距未顯著縮小。,mostly_negative,0,,全體身心障礙勞動力,,,,,,,,,勞動參與率改善遲緩主因：結構性歧視 + 雇主合理調整意願不足 + 定額進用罰繳代替實際進用。本平台不單一歸罪政府，亦提及社會結構變因。,PI-09,A27
OA-emp-2024-002,2024-12,IA-mol-2023-emp,platform,AABE 觀察,若依 §102(b) 全面淘汰庇護工場，部分重度智能障礙當事人將失去現有穩定就業環境，配套支持就業若不足，可能導致實質剝奪工作機會。,mixed,1,強落實派淘汰建議若無充分支持就業配套，可能導致重度障礙者就業權實質倒退。,重度智能障礙者、心理社會障礙者中之高支持需求群,,,,,,,,,本平台不質疑強落實派初衷之正當性。但呈現政策實施需配套之事實。智總主張之保留立場有其實質根據。,PI-09,A27
OA-lc-2024-001,2024-12,IA-mohw-2023-lc,ngo,殘聯 / 心智障礙者代表組織,支持式決策試辦規模仍小（試辦個案數 < 100），未達制度化規模。監護宣告改革進度遲緩。,mostly_negative,0,,心智障礙者、失智長者,,,,,,,,,改革遲緩主因：制度配套需求高（法律 + 人力 + 預算）。本平台支持加速制度化，同時關切過渡期之保護真空風險。,PI-15,A12
OA-special-school-2024,2024-12,IA-moe-2024-special-school,platform,AABE 觀察,特教學校保留並推動品質提升。22 團體要求之 phase-out 未發生。智總多元主張立場部分被政府採納。,mostly_positive,0,,重度智能障礙、多重障礙學生及其家長,,,,,,,,,政府於 §24 議題採折衷路徑，未單向採納強落實派建議。本平台肯定此折衷。,PI-13,A24
OA-bully-2024,2024-12,IA-moe-2024-bully,ngo,自閉症 / 智總 / 多障家長協會等,校園身障兒少霸凌通報率公開資料不足。家長反映普通班專業支持仍嚴重不足。,mostly_negative,1,融合教育推進速度大於普通班專業支持建置速度，部分身障兒少於普通班遭遇社交困難與專業支持不足。,融合班身障兒少（特別是自閉症光譜、ADHD、學習障礙）,,,,,,,,,本平台不單一歸罪。強落實派融合主張之意圖正當，但實施配套不足為主因。教師培訓速度滯後。家長申訴機制不暢。,PI-14,"A7,A16,A24"
OA-medicalization-2024,2024-12,IA-mohw-2024-medicalization,platform,AABE 觀察,ADHD / 自閉症兒少診斷率資料公開仍不足。國際對照（法國低診斷率、美國高診斷率）關注須政府回應。,unclear,0,,ADHD / 自閉症光譜 / 學習障礙兒少及其家庭,,,,,,,,,本平台支持診斷率資料公開（去識別化），以利公共討論診斷標準變更影響。,PI-16,"A1,A25"
OA-overall-2024,2024-12,IA-exec-2023-overall,platform,AABE 觀察,CRPD 整體實施進度緩慢，部分條文（§9 §12 §19）改革遲緩。,mostly_negative,0,,全體身心障礙者,,,,,,,,,改革遲緩主因：制度配套需時 + 跨部會協調困難 + 預算限制。本平台支持加速改革。,PI-01,A4
OA-unful-2024,2024-12,,platform,AABE 觀察,至 2024 年盤點 2017 CO 兌現率約 30-40%，多數重大改革條目仍 pending 或 abandoned。,mostly_negative,0,,全體身心障礙者,,,,,,,,,兌現遲緩主因：制度改革需法律修訂 + 預算編列 + 跨部會協調。,PI-02,A4
OA-third-2026,2026-05,,platform,AABE 觀察,第三次審查預計 2027，民間影子報告動員啟動中。,unclear,0,,全體身心障礙者,,,,,,,,,本平台計畫貢獻軸四教育選擇權議題。,PI-03,A35
OA-intl-2026,2026-05,,platform,AABE 文獻分析,德國、日本、韓國保留特教學校；意大利、葡萄牙朝向全面融合。多元路徑並存於國際實踐。,unclear,0,,—,,,,,,,,,國際多元實踐證明 §24 解讀有合理空間。,PI-04,"A24,GC4"
OA-nap-2024,2024-12,IA-exec-2024-nap,platform,AABE,身障策略至 2024 年仍在研擬中。,unclear,0,,全體身心障礙者,,,,,,,,,策略發展需時，本平台關注時程。,PI-05,A4
OA-nhrc-2024,2024-12,IA-nhrc-2023,platform,AABE 觀察,NHRC 對 CRPD 監督機制建立中，獨立性與深度仍待強化。,mixed,0,,全體身心障礙者,,,,,,,,,NHRC 巴黎原則 B 級評等，獨立性仍須加強。,PI-06,A33
OA-budget-2024,2024-12,,platform,AABE,身障預算配置仍以機構式照顧為主，社區式支持服務經費比例提升緩慢。,mostly_negative,0,,重度身障者及其家庭,,,,,,,,,去機構化單向推動需配套家庭照顧支持，本平台關注家屬負荷。,PI-07,A19
OA-stats-2024,2024-12,,data_only,衛福部統計處（2024）,2024 年身障人口約 120 萬人，佔總人口 5%+。高齡身障比例上升。,unclear,0,,全體身心障礙者,,,,,,,,,統計指標朝 ICF 改革進行中，交叉指標仍待強化。,PI-08,A31
OA-caregiver-2024,2024-12,IA-mohw-2024-caregiver,ngo,中華民國家庭照顧者關懷總會,家庭照顧者經濟負荷與心理壓力指數仍高。個人助理員制度覆蓋率 < 5%。,mostly_negative,0,,身障家庭照顧者,,,,,,,,,去機構化政策推進與家庭支持服務建置有時間落差。,PI-11,"A19,A23"
