position_id,date,actor_type,actor_id,actor_name_zh,source_type,source_ref,stance_axis_id,stance_position,stance_label,position_text_zh,related_pi,related_articles,ingest_date
AP-cw-2017-edu,2017-08,ngo,SR-2017-covenant_watch,人權公約施行監督聯盟,shadow_report,src-2017-shadow-cw-ch,SA-edu-inclusion,-80,strong_inclusion,（2017 平行報告）人約盟主張政府應加速推動融合教育，將特殊教育學生從特教學校 / 特教班大幅轉至普通班，符合 GC4 之精神。,"PI-12,PI-13","A24,GC4",2026-05-01
AP-cw-2022-edu,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體共同提交）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-85,strong_inclusion,（2022 議題清單回覆）人約盟協調 22 個身障與人權團體共同提交，主張：政府融合教育推進緩慢、特教仍以隔離為主、應全面落實 GC4。,"PI-12,PI-13","A24,GC4",2026-05-01
AP-pact-2017-edu,2017-08,ngo,SR-2017-pact_for_intellectual,中華民國智障者家長總會（智總）,public_statement,TBD,SA-edu-inclusion,60,multi_track_preserve,（公開立場）智總主張：重度智能障礙學生在普通班缺乏專業支持，特教學校 / 特教班於部分學生有不可替代之專業環境。應強化品質而非廢除。,"PI-12,PI-13",A24,2026-05-01
AP-multi-2022-edu,2022-06,ngo,SR-2022-multiple_handicap,中華民國多障家長協會,public_statement,TBD,SA-edu-inclusion,70,multi_track_preserve,（公開立場）多障家長協會主張：多重障礙學生需要高度結構化、跨專業團隊支持之環境，特殊教育學校為必要選項。家長教育選擇權應受保障。,"PI-12,PI-13",A24,2026-05-01
AP-academic-quality-2022,2022-06,academic,academic-multi,國內特教學界（中間派）,academic_article,TBD,SA-edu-inclusion,0,quality_inclusion,（學界中間派立場）主張：融合為主流方向，但須先確保普通班品質充足。過渡期間保留多元安置選項。重點在 IEP 落實與通用學習設計，而非學校類別。,"PI-12,PI-13",A24,2026-05-01
AP-aabe-2026-edu,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-edu-inclusion,30,quality_inclusion_with_choice,（AABE 本平台立場）採『品質融合 + 家長選擇權』整合立場：(1) 支持融合教育為主流選項 (2) 支持普通班加強支持資源 (3) 反對單向廢除特殊教育學校 (4) 支持家長依子女需求多元選擇 (5) 支持特教學校品質提升而非規模消滅,"PI-12,PI-13",A24,2026-05-01
AP-pact-2022-emp,2022-06,ngo,SR-2022-pact_for_intellectual,中華民國智障者家長總會（智總）,public_statement,TBD,SA-employment,60,shelter_workshop_preserve,（公開立場）智總主張：對於重度智能障礙者，庇護工場提供穩定就業環境與社會參與機會，全面廢除可能使部分當事人失去工作。應改善而非廢除。,PI-09,A27,2026-05-01
AP-cw-2022-emp,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-employment,-75,phase_out_shelter,（2022 議題清單回覆）22 團體共同主張：庇護工場為剝削性體系，應制定逐步淘汰策略，將身障者轉入開放勞動市場。立法禁止雇主基於身障歧視，含拒絕合理調整。,PI-09,A27,2026-05-01
AP-disability-alliance-2022-emp,2022-06,ngo,SR-2022-disability_alliance,中華民國身心障礙聯盟（殘聯）,shadow_report,TBD,SA-employment,-50,support_employment_first,（公開立場）殘聯主張：擴大支持就業預算、改善定額進用稽核機制、提升職業重建效能。對庇護工場立場：肯認部分身障者需要保護性環境，但應強化轉銜機制。,PI-09,A27,2026-05-01
AP-aabe-2026-emp,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-employment,0,balanced_employment,（AABE 平台立場）支持擴大支持就業 + 改善定額進用 + 立法保障合理調整。對庇護工場：支持品質提升與轉銜機制建立，反對單向 phase-out 而忽略重度障礙者實際需求。,PI-09,A27,2026-05-01
AP-cw-2022-lc,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-legal-capacity,-90,abolish_substitute_decision,（2022）22 團體主張：依 GC1 全面廢除替代性決策（含監護宣告、輔助宣告），建立完整支持式決策系統。,PI-15,"A12,GC1",2026-05-01
AP-multi-2022-lc,2022-06,ngo,SR-2022-multiple_handicap,中華民國多障家長協會,public_statement,TBD,SA-legal-capacity,75,preserve_guardianship,（公開立場）多障家長協會主張：重度多重障礙、智能障礙、失智長者於部分情境難以表達真實意願，全面廢除監護宣告恐使弱勢者陷入財產 / 人身保護真空。應改革而非廢除。,PI-15,A12,2026-05-01
AP-academic-mixed-2022-lc,2022-06,academic,academic-mixed,國內法學界（混合派）,academic_article,TBD,SA-legal-capacity,0,mixed_model,（學界混合派）參考愛爾蘭 Assisted Decision-Making (Capacity) Act 2015、英國 Mental Capacity Act 2005 + DOLS：預設支持式決策，例外保留替代決策（嚴格程序、限制適用、定期審查）。,PI-15,A12,2026-05-01
AP-aabe-2026-lc,2026-05,ngo,AABE,國教行動聯盟（AABE）,public_statement,governance/axis4_position_statement.md,SA-legal-capacity,30,mixed_with_parental_protection,（AABE 立場）支持支持式決策制度建立 + 改革現行監護宣告（限縮適用、強化程序保障、定期審查）。反對全面廢除監護宣告而置心智障礙未成年人 / 重度失智長者於保護真空。家長對未成年身障子女之監護責任不被 §12 解讀削弱。,PI-15,"A12,A23",2026-05-01
AP-cw-2022-special-school,2022-06,ngo,SR-2022-covenant_watch,人權公約施行監督聯盟（22 團體）,shadow_report,src-2022-shadow-22ngos,SA-edu-inclusion,-85,phase_out_special_schools,（2022）22 團體主張：應依 GC4 將特殊教育學校漸進 phase-out，所有身障學生融入普通教育系統。,PI-13,"A24,GC4",2026-05-01
AP-pact-2022-special-school,2022-06,ngo,SR-2022-pact_for_intellectual,中華民國智障者家長總會（智總）,public_statement,TBD,SA-edu-inclusion,75,preserve_special_schools,（公開立場）智總主張：重度智能障礙學生在特教學校獲得跨專業團隊（語言治療、職能治療、物理治療、特殊心理服務）整合支持，普通班難以替代。應保留並提升特教學校品質。,PI-13,A24,2026-05-01
